國家/地區,點擊,曝光,點閱率,排名
台灣,3031,103890,2.92%,8.2
香港,150,11464,1.31%,16.18
美國,30,23864,0.13%,10.63
馬來西亞,28,4488,0.62%,7.63
澳洲,17,1072,1.59%,7.78
新加坡,16,1265,1.26%,8.18
英國,11,708,1.55%,7.66
澳門特別行政區,11,425,2.59%,6.63
加拿大,9,1535,0.59%,7.94
中國,8,5301,0.15%,6.51
日本,8,887,0.9%,24.89
泰國,5,299,1.67%,8.49
越南,4,3055,0.13%,10.49
巴西,2,968,0.21%,13
菲律賓,2,755,0.26%,8.27
南韓,2,237,0.84%,7.16
印尼,1,790,0.13%,8.16
南非,1,265,0.38%,13.89
智利,1,184,0.54%,14.09
荷蘭,1,134,0.75%,9.14
奧地利,1,20,5%,9.25
丹麥,1,11,9.09%,7.09
印度,0,722,0%,11.84
墨西哥,0,489,0%,12.47
阿根廷,0,471,0%,13.23
孟加拉,0,453,0%,14.17
巴基斯坦,0,453,0%,14.31
伊拉克,0,419,0%,14.21
俄羅斯,0,351,0%,9.98
德國,0,262,0%,8.96
哥倫比亞,0,262,0%,12.79
義大利,0,238,0%,7.56
法國,0,236,0%,8.65
摩洛哥,0,228,0%,13.54
西班牙,0,225,0%,9.15
委內瑞拉,0,217,0%,12.82
沙烏地阿拉伯,0,213,0%,14.17
紐西蘭,0,207,0%,7.29
土耳其,0,198,0%,13.33
約旦,0,163,0%,13.9
烏克蘭,0,126,0%,12.41
烏茲別克,0,121,0%,14.21
肯亞,0,117,0%,13.64
阿拉伯聯合大公國,0,114,0%,12.34
厄瓜多,0,114,0%,12.69
哈薩克,0,90,0%,14.12
烏拉圭,0,87,0%,12.56
巴拉圭,0,87,0%,13.51
秘魯,0,84,0%,10.25
阿爾及利亞,0,84,0%,14.54
玻利維亞,0,82,0%,13.57
埃及,0,78,0%,12.45
阿曼,0,78,0%,15.03
柬埔寨,0,77,0%,7.29
突尼西亞,0,75,0%,13
衣索比亞,0,73,0%,14.48
緬甸,0,72,0%,7.76
以色列,0,70,0%,12.31
波蘭,0,68,0%,8.59
亞賽拜然,0,64,0%,14.11
哥斯大黎加,0,54,0%,11.57
巴拿馬,0,53,0%,9.96
白俄羅斯,0,53,0%,12.43
尼泊爾,0,53,0%,14.28
比利時,0,48,0%,8
奈及利亞,0,48,0%,12.46
塞內加爾,0,46,0%,13.89
巴勒斯坦,0,44,0%,12.25
牙買加,0,42,0%,14.38
多明尼加共和國,0,41,0%,11
伊朗,0,40,0%,8.78
瑞典,0,39,0%,8.74
愛爾蘭,0,39,0%,9.31
黎巴嫩,0,39,0%,13.03
瑞士,0,35,0%,8.26
卡達,0,35,0%,12.63
葡萄牙,0,32,0%,9.53
阿爾巴尼亞,0,31,0%,15.77
塞爾維亞,0,27,0%,9.33
羅馬尼亞,0,27,0%,9.59
芬蘭,0,26,0%,8.27
象牙海岸,0,26,0%,14.04
科威特,0,25,0%,13.16
尼加拉瓜,0,24,0%,11.21
宏都拉斯,0,23,0%,14.43
捷克,0,22,0%,7.68
吉爾吉斯,0,22,0%,9.05
保加利亞,0,22,0%,10.82
千里達及托巴哥,0,21,0%,13
巴林,0,20,0%,11.05
坦尚尼亞,0,19,0%,12.89
希臘,0,18,0%,9.22
瓜地馬拉,0,18,0%,9.5
敘利亞,0,18,0%,13.22
亞美尼亞,0,18,0%,15.61
剛果 - 布拉薩市,0,18,0%,17.83
薩爾瓦多共和國,0,17,0%,9.53
喬治亞,0,17,0%,12
多哥,0,16,0%,12.75
布吉納法索,0,16,0%,17.19
利比亞,0,16,0%,17.94
安哥拉,0,15,0%,12.27
摩爾多瓦,0,15,0%,12.93
赤道幾內亞,0,14,0%,5.57
波士尼亞與赫塞哥維納,0,14,0%,15.14
寮國,0,13,0%,6.08
匈牙利,0,13,0%,8.15
斯洛伐克,0,12,0%,5.67
斯里蘭卡,0,12,0%,6.92
烏干達,0,12,0%,8
挪威,0,12,0%,8.75
迦納,0,12,0%,12.25
蒙古,0,10,0%,9.4
波多黎克,0,10,0%,10.7
模里西斯,0,10,0%,12.5
蓋亞那,0,10,0%,18.6
蘇利南,0,9,0%,12.33
馬其頓,0,9,0%,13.22
辛巴威,0,9,0%,17.33
斯洛維尼亞,0,8,0%,7.38
立陶宛,0,7,0%,5
冰島,0,7,0%,7.29
克羅埃西亞,0,7,0%,7.43
海地,0,7,0%,7.43
拉脫維亞,0,7,0%,9
汶萊,0,7,0%,9.29
加彭,0,7,0%,10
馬達加斯加,0,7,0%,11.86
剛果 - 金夏沙,0,7,0%,12.57
貝里斯,0,6,0%,4.5
史瓦濟蘭,0,6,0%,6.17
關島,0,6,0%,11.5
盧安達,0,6,0%,13.83
尚比亞,0,6,0%,15.5
斐濟,0,5,0%,7.2
古巴,0,5,0%,7.4
波札那,0,5,0%,7.6
巴哈馬,0,5,0%,9.2
喀麥隆,0,5,0%,9.2
馬利,0,5,0%,12.2
賽普勒斯,0,4,0%,6.5
北韓,0,4,0%,7.25
莫三比克,0,4,0%,9.25
馬爾他,0,4,0%,9.75
科索沃,0,4,0%,13
愛沙尼亞,0,4,0%,14
索馬利亞,0,4,0%,14
馬爾地夫,0,4,0%,16
巴貝多,0,4,0%,23.75
庫拉索,0,3,0%,6
百慕達,0,3,0%,9
阿富汗,0,3,0%,10
蒙特內哥羅,0,3,0%,11.67
維德角,0,3,0%,20.67
蘇丹,0,2,0%,3
荷屬聖馬丁,0,2,0%,4
聖露西亞,0,2,0%,5
幾內亞,0,2,0%,6
賴索托,0,2,0%,6
美屬維京群島,0,2,0%,7
英屬維京群島,0,2,0%,7.5
根息,0,2,0%,8
獅子山,0,2,0%,8
