日期,點擊,曝光,點閱率,排名
2026-05-02,51,2796,1.82%,7.5
2026-05-03,57,2659,2.14%,8.3
2026-05-04,50,2591,1.93%,7.8
2026-05-05,45,2599,1.73%,7.7
2026-05-06,43,3035,1.42%,7.9
2026-05-07,40,2530,1.58%,8.2
2026-05-08,42,2838,1.48%,7.7
2026-05-09,38,3123,1.22%,7.2
2026-05-10,56,3233,1.73%,7.6
2026-05-11,47,3006,1.56%,8.2
2026-05-12,41,2657,1.54%,8
2026-05-13,54,2649,2.04%,8.2
2026-05-14,49,2582,1.9%,8.5
2026-05-15,63,2573,2.45%,7.8
2026-05-16,67,2516,2.66%,7.7
2026-05-17,60,2667,2.25%,7.5
2026-05-18,54,2570,2.1%,8.1
2026-05-19,48,2303,2.08%,7.9
2026-05-20,53,2333,2.27%,8.2
2026-05-21,54,3216,1.68%,9.1
2026-05-22,43,3220,1.34%,9.3
2026-05-23,41,2527,1.62%,7.8
2026-05-24,48,2454,1.96%,8
2026-05-25,52,2565,2.03%,8.2
2026-05-26,46,2210,2.08%,8
2026-05-27,55,2405,2.29%,8.2
2026-05-28,43,2190,1.96%,8.6
2026-05-29,51,2173,2.35%,8.5
2026-05-30,31,2116,1.47%,8.6
2026-05-31,40,2153,1.86%,7.7
2026-06-01,47,2107,2.23%,9
2026-06-02,30,1860,1.61%,8.2
2026-06-03,36,1807,1.99%,8
2026-06-04,35,1716,2.04%,8.7
2026-06-05,35,1760,1.99%,8.7
2026-06-06,38,1808,2.1%,8.2
2026-06-07,31,1942,1.6%,8.2
2026-06-08,46,1722,2.67%,8.2
2026-06-09,40,1536,2.6%,8.3
2026-06-10,39,4516,0.86%,12.9
2026-06-11,32,1706,1.88%,9
2026-06-12,33,1527,2.16%,8.9
2026-06-13,32,1536,2.08%,9.5
2026-06-14,28,1639,1.71%,8.7
2026-06-15,39,1652,2.36%,8.9
2026-06-16,40,1600,2.5%,9.7
2026-06-17,29,1352,2.14%,10.4
2026-06-18,22,1336,1.65%,10.5
2026-06-19,14,1344,1.04%,10.7
2026-06-20,27,1248,2.16%,10.1
2026-06-21,30,1193,2.51%,9.3
2026-06-22,30,1146,2.62%,10.4
2026-06-23,37,1689,2.19%,12
2026-06-24,32,1041,3.07%,10.7
2026-06-25,24,2167,1.11%,14.5
2026-06-26,31,1999,1.55%,12.2
2026-06-27,28,1654,1.69%,11.5
2026-06-28,21,1282,1.64%,9.8
2026-06-29,27,1252,2.16%,9
2026-06-30,26,1463,1.78%,8.2
2026-07-01,31,1187,2.61%,9.3
2026-07-02,32,1617,1.98%,10.7
2026-07-03,36,1311,2.75%,9.3
2026-07-04,30,1469,2.04%,9.2
2026-07-05,34,1213,2.8%,9
2026-07-06,30,1225,2.45%,11.3
2026-07-07,29,8375,0.35%,14.5
2026-07-08,33,1028,3.21%,9.5
2026-07-09,24,1071,2.24%,10
2026-07-10,22,1083,2.03%,11.1
2026-07-11,20,1118,1.79%,11.4
2026-07-12,30,1076,2.79%,9.9
2026-07-13,31,1041,2.98%,10.6
2026-07-14,33,886,3.72%,9.9
2026-07-15,25,981,2.55%,10
2026-07-16,28,950,2.95%,9.8
2026-07-17,19,940,2.02%,12
2026-07-18,23,921,2.5%,9.9
2026-07-19,20,921,2.17%,9.3
2026-07-20,29,1024,2.83%,10.2
2026-07-21,21,907,2.32%,9.7
2026-07-22,33,1155,2.86%,9.9
2026-07-23,29,1033,2.81%,10.3
2026-07-24,31,961,3.23%,10.3
2026-07-25,35,1069,3.27%,9.3
2026-07-26,35,985,3.55%,10.4
2026-07-27,20,1015,1.97%,10.1
2026-07-28,37,1060,3.49%,9.9
2026-07-29,24,1032,2.33%,12.2
2026-07-30,30,1050,2.86%,13.1
2026-07-31,30,1023,2.93%,11.5
2026-08-01,35,1059,3.31%,11.4
