日期,點擊,曝光,點閱率,排名
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,3,0%,5.7
2026-03-27,0,1,0%,6
2026-03-28,0,2,0%,1
2026-03-29,0,3,0%,2
2026-03-30,0,4,0%,6.5
2026-03-31,0,0,,
2026-04-01,0,5,0%,1.6
2026-04-02,0,4,0%,6
2026-04-03,0,1,0%,2
2026-04-04,0,2,0%,3
2026-04-05,0,1,0%,13
2026-04-06,0,4,0%,1
2026-04-07,0,1,0%,1
2026-04-08,0,1,0%,15
2026-04-09,0,1,0%,5
2026-04-10,0,0,,
2026-04-11,0,1,0%,3
2026-04-12,0,0,,
2026-04-13,0,5,0%,4.4
2026-04-14,0,4,0%,3.2
2026-04-15,0,1,0%,1
2026-04-16,0,1,0%,7
2026-04-17,0,0,,
2026-04-18,0,2,0%,6.5
2026-04-19,0,1,0%,11
2026-04-20,0,2,0%,7.5
2026-04-21,0,2,0%,5
2026-04-22,0,4,0%,22.5
2026-04-23,0,1,0%,8
2026-04-24,0,4,0%,1.5
2026-04-25,0,1,0%,15
2026-04-26,0,1,0%,4
2026-04-27,0,4,0%,5.5
2026-04-28,0,6,0%,3
2026-04-29,0,0,,
2026-04-30,0,0,,
2026-05-01,1,5,20%,7.2
2026-05-02,0,0,,
2026-05-03,0,3,0%,8
2026-05-04,0,4,0%,7.8
2026-05-05,0,4,0%,7
2026-05-06,1,4,25%,8.2
2026-05-07,0,2,0%,10
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,1,0%,6
2026-05-11,0,1,0%,6
2026-05-12,0,2,0%,11.5
2026-05-13,0,0,,
2026-05-14,0,5,0%,6.6
2026-05-15,0,0,,
2026-05-16,0,2,0%,6
2026-05-17,0,3,0%,7
2026-05-18,1,3,33.33%,5.7
2026-05-19,0,2,0%,8
2026-05-20,0,3,0%,4
2026-05-21,0,1,0%,1
2026-05-22,0,0,,
2026-05-23,0,1,0%,7
2026-05-24,0,5,0%,4.6
2026-05-25,0,1,0%,9
2026-05-26,0,1,0%,25
2026-05-27,0,1,0%,1
2026-05-28,0,2,0%,12.5
2026-05-29,0,1,0%,8
2026-05-30,0,12,0%,7.1
2026-05-31,0,2,0%,3
2026-06-01,0,2,0%,6.5
2026-06-02,0,11,0%,6.7
2026-06-03,1,15,6.67%,6.9
2026-06-04,0,16,0%,6.1
2026-06-05,0,12,0%,6.8
2026-06-06,0,14,0%,5
2026-06-07,2,14,14.29%,6.6
2026-06-08,0,15,0%,6.6
2026-06-09,0,10,0%,6
2026-06-10,1,6,16.67%,6.2
2026-06-11,0,14,0%,8.3
2026-06-12,0,15,0%,6.8
2026-06-13,0,15,0%,6.6
2026-06-14,0,13,0%,6.2
2026-06-15,0,16,0%,6.2
2026-06-16,1,11,9.09%,5.9
2026-06-17,1,17,5.88%,6.1
2026-06-18,0,14,0%,6.9
2026-06-19,0,17,0%,5.8
2026-06-20,0,11,0%,6.7
2026-06-21,0,17,0%,7.4
2026-06-22,2,11,18.18%,7.8
2026-06-23,0,10,0%,11
2026-06-24,0,7,0%,8.1
2026-06-25,0,11,0%,4.4
2026-06-26,0,9,0%,5.9
2026-06-27,1,16,6.25%,6.3
2026-06-28,0,22,0%,6.9
2026-06-29,2,13,15.38%,6.7
2026-06-30,0,26,0%,8
2026-07-01,0,10,0%,7.3
2026-07-02,0,8,0%,9.5
2026-07-03,1,17,5.88%,5.6
2026-07-04,0,14,0%,6.2
2026-07-05,0,10,0%,5.7
2026-07-06,0,21,0%,6.5
2026-07-07,0,18,0%,11.1
2026-07-08,0,9,0%,4.1
2026-07-09,0,6,0%,6.3
2026-07-10,0,5,0%,8.2
2026-07-11,0,9,0%,5.8
2026-07-12,0,10,0%,6.5
2026-07-13,1,22,4.55%,5.5
2026-07-14,0,10,0%,4.2
2026-07-15,1,15,6.67%,8.3
2026-07-16,0,7,0%,6
2026-07-17,0,7,0%,5.3
2026-07-18,0,9,0%,7.2
2026-07-19,1,22,4.55%,5.1
2026-07-20,0,13,0%,6
2026-07-21,0,9,0%,6
2026-07-22,2,12,16.67%,5.2
2026-07-23,0,15,0%,7.1
2026-07-24,0,12,0%,7.6
2026-07-25,0,5,0%,7.8
2026-07-26,1,12,8.33%,8.3
2026-07-27,0,9,0%,8.3
2026-07-28,0,13,0%,7.7
2026-07-29,1,13,7.69%,7.2
2026-07-30,1,14,7.14%,5
2026-07-31,1,6,16.67%,5.8
2026-08-01,0,8,0%,7.1
2026-08-02,1,12,8.33%,10.1
2026-08-03,0,11,0%,4.9
2026-08-04,0,9,0%,6.2
