日期,點擊,曝光,點閱率,排名
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,0,,
2026-03-27,0,0,,
2026-03-28,0,0,,
2026-03-29,0,0,,
2026-03-30,0,0,,
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,0,,
2026-04-17,0,0,,
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,0,,
2026-04-21,0,0,,
2026-04-22,0,0,,
2026-04-23,0,0,,
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,0,,
2026-04-27,0,0,,
2026-04-28,0,0,,
2026-04-29,0,0,,
2026-04-30,0,0,,
2026-05-01,0,0,,
2026-05-02,0,0,,
2026-05-03,0,0,,
2026-05-04,0,0,,
2026-05-05,0,0,,
2026-05-06,0,0,,
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,1,0%,12
2026-05-12,0,6,0%,8.8
2026-05-13,2,7,28.57%,4.3
2026-05-14,0,3,0%,6.7
2026-05-15,0,1,0%,3
2026-05-16,0,6,0%,3.7
2026-05-17,1,5,20%,6
2026-05-18,0,3,0%,2.7
2026-05-19,0,3,0%,8.3
2026-05-20,0,1,0%,10
2026-05-21,0,6,0%,8.3
2026-05-22,0,3,0%,9.7
2026-05-23,0,8,0%,6.8
2026-05-24,0,8,0%,7
2026-05-25,0,6,0%,7.5
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,1,0%,4
2026-06-03,0,0,,
2026-06-04,0,2,0%,7
2026-06-05,0,2,0%,2.5
2026-06-06,0,0,,
2026-06-07,0,0,,
2026-06-08,0,0,,
2026-06-09,0,7,0%,7
2026-06-10,0,6,0%,6.5
2026-06-11,0,5,0%,6.4
2026-06-12,0,3,0%,7.3
2026-06-13,0,3,0%,5
2026-06-14,0,3,0%,4.3
2026-06-15,0,2,0%,10
2026-06-16,0,7,0%,9.9
2026-06-17,0,7,0%,4.9
2026-06-18,1,3,33.33%,5.7
2026-06-19,1,7,14.29%,7.4
2026-06-20,0,3,0%,8.3
2026-06-21,0,6,0%,8.7
2026-06-22,0,4,0%,7.8
2026-06-23,0,0,,
2026-06-24,0,1,0%,8
2026-06-25,0,1,0%,4
2026-06-26,0,1,0%,8
2026-06-27,0,4,0%,6.8
2026-06-28,0,2,0%,4.5
2026-06-29,0,0,,
2026-06-30,0,6,0%,5.7
2026-07-01,0,0,,
2026-07-02,0,2,0%,7.5
2026-07-03,0,2,0%,4.5
2026-07-04,0,2,0%,1
2026-07-05,0,2,0%,3.5
2026-07-06,0,1,0%,8
2026-07-07,0,1,0%,7
2026-07-08,0,1,0%,9
2026-07-09,0,2,0%,9
2026-07-10,0,0,,
2026-07-11,0,1,0%,9
2026-07-12,0,1,0%,9
2026-07-13,0,2,0%,8
2026-07-14,0,0,,
2026-07-15,0,2,0%,6
2026-07-16,0,3,0%,5.7
2026-07-17,0,2,0%,5
2026-07-18,1,6,16.67%,4.5
2026-07-19,0,6,0%,10.8
2026-07-20,1,7,14.29%,6
2026-07-21,0,2,0%,6
2026-07-22,0,1,0%,7
2026-07-23,0,3,0%,4.3
2026-07-24,0,12,0%,4.6
2026-07-25,0,6,0%,5.2
2026-07-26,0,3,0%,4.7
2026-07-27,0,5,0%,6.8
2026-07-28,1,10,10%,7.6
2026-07-29,0,8,0%,6.1
2026-07-30,0,4,0%,6
2026-07-31,0,5,0%,4.6
2026-08-01,0,7,0%,7.6
2026-08-02,0,8,0%,7
2026-08-03,2,12,16.67%,4.7
2026-08-04,0,14,0%,6.1
