國家/地區,點擊,曝光,點閱率,排名
台灣,376,14281,2.63%,8.1
美國,23,1426,1.61%,6.95
香港,4,405,0.99%,9.11
加拿大,4,177,2.26%,8.16
中國,4,174,2.3%,6.8
日本,2,125,1.6%,7.18
新加坡,2,116,1.72%,6.95
澳洲,2,111,1.8%,6.95
馬來西亞,2,81,2.47%,7.47
紐西蘭,2,12,16.67%,4.58
澳門特別行政區,1,99,1.01%,7.17
德國,1,39,2.56%,7.59
法國,1,30,3.33%,6.87
菲律賓,1,24,4.17%,6.71
荷蘭,1,19,5.26%,6.05
以色列,1,9,11.11%,3.78
越南,0,79,0%,7.32
英國,0,56,0%,7.09
印尼,0,43,0%,6.67
巴西,0,34,0%,5.68
南韓,0,33,0%,7.06
墨西哥,0,28,0%,5.96
泰國,0,27,0%,7.93
印度,0,26,0%,7.92
緬甸,0,17,0%,6.29
西班牙,0,14,0%,4.93
柬埔寨,0,13,0%,9.54
義大利,0,12,0%,7.75
阿根廷,0,10,0%,8.3
巴基斯坦,0,10,0%,8.3
瑞士,0,8,0%,7.5
愛爾蘭,0,7,0%,6
土耳其,0,7,0%,7.14
俄羅斯,0,7,0%,8.86
伊拉克,0,7,0%,10.29
挪威,0,6,0%,4
羅馬尼亞,0,6,0%,8
孟加拉,0,6,0%,9.17
智利,0,6,0%,11.33
南非,0,5,0%,6.6
委內瑞拉,0,5,0%,7
阿拉伯聯合大公國,0,5,0%,7.6
哥斯大黎加,0,5,0%,8.2
多明尼加共和國,0,5,0%,9
葡萄牙,0,4,0%,4
沙烏地阿拉伯,0,4,0%,5
哥倫比亞,0,4,0%,5.25
寮國,0,4,0%,7.5
伊朗,0,4,0%,8
烏克蘭,0,4,0%,8
波蘭,0,4,0%,9
瓜地馬拉,0,3,0%,4
秘魯,0,3,0%,4
巴拉圭,0,3,0%,5
衣索比亞,0,3,0%,6
厄瓜多,0,3,0%,7.33
丹麥,0,3,0%,8.67
奈及利亞,0,3,0%,9
阿爾巴尼亞,0,3,0%,10.33
愛沙尼亞,0,3,0%,14.67
尼泊爾,0,2,0%,2.5
巴拿馬,0,2,0%,2.5
冰島,0,2,0%,3.5
阿曼,0,2,0%,4
希臘,0,2,0%,5
阿富汗,0,2,0%,6
古巴,0,2,0%,6.5
埃及,0,2,0%,6.5
斯里蘭卡,0,2,0%,8
貝里斯,0,2,0%,10.5
瑞典,0,2,0%,10.5
喀麥隆,0,1,0%,1
喬治亞,0,1,0%,1
馬達加斯加,0,1,0%,1
帛琉,0,1,0%,1
巴勒斯坦,0,1,0%,1
芬蘭,0,1,0%,2
英屬維京群島,0,1,0%,2
馬爾地夫,0,1,0%,3
斯洛伐克,0,1,0%,3
烏干達,0,1,0%,3
牙買加,0,1,0%,4
塞爾維亞,0,1,0%,4
突尼西亞,0,1,0%,4
亞賽拜然,0,1,0%,5
馬爾他,0,1,0%,5
蒙古,0,1,0%,5
紐埃島,0,1,0%,5
奧地利,0,1,0%,6
玻利維亞,0,1,0%,6
留尼旺,0,1,0%,6
烏茲別克,0,1,0%,6
剛果 - 金夏沙,0,1,0%,7
吉爾吉斯,0,1,0%,7
聖赫勒拿島,0,1,0%,7
萬那杜,0,1,0%,7
捷克,0,1,0%,8
宏都拉斯,0,1,0%,8
克羅埃西亞,0,1,0%,8
匈牙利,0,1,0%,8
聖露西亞,0,1,0%,8
冷岸及央棉群島,0,1,0%,8
斯洛維尼亞,0,1,0%,8
特克斯和凱科斯群島,0,1,0%,8
坦尚尼亞,0,1,0%,8
瓜地洛普,0,1,0%,9
保加利亞,0,1,0%,10
科威特,0,1,0%,10
摩洛哥,0,1,0%,10
約旦,0,1,0%,18
千里達及托巴哥,0,1,0%,18
烏拉圭,0,1,0%,20
塞內加爾,0,1,0%,22
