國家/地區,點擊,曝光,點閱率,排名
台灣,321,12764,2.51%,8.17
美國,21,1144,1.84%,7.07
中國,4,150,2.67%,6.97
香港,3,341,0.88%,9.15
澳洲,2,79,2.53%,7.35
新加坡,2,78,2.56%,6.96
馬來西亞,2,68,2.94%,7.4
加拿大,1,135,0.74%,8.33
日本,1,113,0.88%,7.51
澳門特別行政區,1,86,1.16%,7.33
德國,1,29,3.45%,8.14
法國,1,26,3.85%,6.81
菲律賓,1,21,4.76%,6.67
紐西蘭,1,8,12.5%,3.5
越南,0,48,0%,7.29
英國,0,48,0%,7.31
印尼,0,36,0%,7.06
南韓,0,29,0%,7.52
巴西,0,25,0%,6.24
泰國,0,20,0%,7.75
墨西哥,0,19,0%,5.95
印度,0,18,0%,9.33
荷蘭,0,14,0%,5.93
緬甸,0,12,0%,5
西班牙,0,10,0%,4.3
義大利,0,10,0%,7.6
柬埔寨,0,9,0%,10.22
羅馬尼亞,0,6,0%,8
孟加拉,0,6,0%,9.17
阿根廷,0,5,0%,8
多明尼加共和國,0,5,0%,9
伊拉克,0,5,0%,11.2
巴基斯坦,0,5,0%,11.8
挪威,0,4,0%,3.25
哥倫比亞,0,4,0%,5.25
哥斯大黎加,0,4,0%,5.5
南非,0,4,0%,6.25
委內瑞拉,0,4,0%,7
瑞士,0,4,0%,7.25
土耳其,0,4,0%,7.25
寮國,0,4,0%,7.5
烏克蘭,0,4,0%,8
俄羅斯,0,4,0%,8.5
波蘭,0,4,0%,9
沙烏地阿拉伯,0,3,0%,3
愛爾蘭,0,3,0%,3.33
以色列,0,3,0%,3.67
巴拉圭,0,3,0%,5
衣索比亞,0,3,0%,6
丹麥,0,3,0%,8.67
阿拉伯聯合大公國,0,3,0%,9
伊朗,0,3,0%,9
阿爾巴尼亞,0,3,0%,10.33
智利,0,3,0%,14.67
瓜地馬拉,0,2,0%,2.5
尼泊爾,0,2,0%,2.5
巴拿馬,0,2,0%,2.5
冰島,0,2,0%,3.5
阿曼,0,2,0%,4
葡萄牙,0,2,0%,4.5
秘魯,0,2,0%,5.5
阿富汗,0,2,0%,6
埃及,0,2,0%,6.5
奈及利亞,0,2,0%,7
厄瓜多,0,2,0%,8
瑞典,0,2,0%,10.5
喀麥隆,0,1,0%,1
帛琉,0,1,0%,1
巴勒斯坦,0,1,0%,1
希臘,0,1,0%,3
馬爾地夫,0,1,0%,3
斯洛伐克,0,1,0%,3
烏干達,0,1,0%,3
牙買加,0,1,0%,4
塞爾維亞,0,1,0%,4
突尼西亞,0,1,0%,4
馬爾他,0,1,0%,5
紐埃島,0,1,0%,5
奧地利,0,1,0%,6
玻利維亞,0,1,0%,6
古巴,0,1,0%,6
留尼旺,0,1,0%,6
烏茲別克,0,1,0%,6
剛果 - 金夏沙,0,1,0%,7
吉爾吉斯,0,1,0%,7
聖赫勒拿島,0,1,0%,7
萬那杜,0,1,0%,7
捷克,0,1,0%,8
克羅埃西亞,0,1,0%,8
匈牙利,0,1,0%,8
聖露西亞,0,1,0%,8
冷岸及央棉群島,0,1,0%,8
斯洛維尼亞,0,1,0%,8
坦尚尼亞,0,1,0%,8
科威特,0,1,0%,10
斯里蘭卡,0,1,0%,11
貝里斯,0,1,0%,12
約旦,0,1,0%,18
千里達及托巴哥,0,1,0%,18
烏拉圭,0,1,0%,20
塞內加爾,0,1,0%,22
