日期,點擊,曝光,點閱率,排名
2026-05-03,1,113,0.88%,8.5
2026-05-04,4,84,4.76%,8.1
2026-05-05,5,96,5.21%,9
2026-05-06,5,139,3.6%,9.1
2026-05-07,0,178,0%,8.3
2026-05-08,0,135,0%,8.3
2026-05-09,1,180,0.56%,8.1
2026-05-10,4,285,1.4%,8.6
2026-05-11,9,239,3.77%,7.8
2026-05-12,12,248,4.84%,8.5
2026-05-13,8,253,3.16%,7.5
2026-05-14,3,201,1.49%,8.2
2026-05-15,2,195,1.03%,7.9
2026-05-16,4,230,1.74%,7.7
2026-05-17,5,229,2.18%,7.6
2026-05-18,10,209,4.78%,7.8
2026-05-19,3,168,1.79%,7.6
2026-05-20,3,162,1.85%,8.3
2026-05-21,1,189,0.53%,8.1
2026-05-22,3,102,2.94%,8.3
2026-05-23,2,100,2%,7.7
2026-05-24,1,138,0.72%,9.6
2026-05-25,5,129,3.88%,8.1
2026-05-26,5,143,3.5%,8.1
2026-05-27,4,133,3.01%,8.9
2026-05-28,6,113,5.31%,8.2
2026-05-29,2,107,1.87%,7.6
2026-05-30,2,121,1.65%,7.6
2026-05-31,3,142,2.11%,7.8
2026-06-01,5,147,3.4%,7.9
2026-06-02,7,180,3.89%,6.9
2026-06-03,3,146,2.05%,7.7
2026-06-04,5,149,3.36%,8.7
2026-06-05,1,142,0.7%,8.1
2026-06-06,1,146,0.68%,8.1
2026-06-07,3,172,1.74%,8.2
2026-06-08,2,153,1.31%,8.5
2026-06-09,2,148,1.35%,8.2
2026-06-10,8,161,4.97%,8.2
2026-06-11,6,153,3.92%,7.4
2026-06-12,5,143,3.5%,7.9
2026-06-13,7,195,3.59%,8.3
2026-06-14,3,185,1.62%,9
2026-06-15,4,167,2.4%,7
2026-06-16,6,209,2.87%,7
2026-06-17,3,158,1.9%,7.7
2026-06-18,3,138,2.17%,7.3
2026-06-19,4,165,2.42%,7.5
2026-06-20,2,140,1.43%,7.6
2026-06-21,2,188,1.06%,8.4
2026-06-22,8,162,4.94%,8.5
2026-06-23,6,115,5.22%,8.4
2026-06-24,0,117,0%,8.5
2026-06-25,2,118,1.69%,8.9
2026-06-26,2,104,1.92%,8.8
2026-06-27,1,106,0.94%,8.7
2026-06-28,1,134,0.75%,8.8
2026-06-29,6,174,3.45%,8.4
2026-06-30,22,293,7.51%,6.7
2026-07-01,3,280,1.07%,7.6
2026-07-02,1,239,0.42%,7.8
2026-07-03,2,212,0.94%,7.4
2026-07-04,4,205,1.95%,7.5
2026-07-05,2,318,0.63%,7
2026-07-06,3,242,1.24%,7.9
2026-07-07,1,242,0.41%,8.3
2026-07-08,3,178,1.69%,7.6
2026-07-09,5,183,2.73%,8.4
2026-07-10,3,161,1.86%,8.3
2026-07-11,4,259,1.54%,8
2026-07-12,5,305,1.64%,8.6
2026-07-13,2,249,0.8%,8.3
2026-07-14,6,185,3.24%,7.1
2026-07-15,7,181,3.87%,10.1
2026-07-16,5,210,2.38%,9.7
2026-07-17,3,240,1.25%,9
2026-07-18,3,210,1.43%,8.8
2026-07-19,6,212,2.83%,9
2026-07-20,11,143,7.69%,6.7
2026-07-21,3,129,2.33%,8.1
2026-07-22,5,114,4.39%,8
2026-07-23,4,120,3.33%,7.5
2026-07-24,1,128,0.78%,7.1
2026-07-25,2,122,1.64%,7.6
2026-07-26,3,125,2.4%,7.9
2026-07-27,2,146,1.37%,7.5
2026-07-28,3,112,2.68%,7.5
2026-07-29,2,124,1.61%,7.4
2026-07-30,4,128,3.12%,7.7
2026-07-31,5,90,5.56%,6.7
2026-08-01,2,93,2.15%,7.4
2026-08-02,4,151,2.65%,8.8
